"","id","clutch","day_hatch","day_photo","temp","egg_treat","sp","Weigth","Distance.moved","Time_hide_sec","Time_snout_sec","Time_emerge_sec","SVL","Tail","Total","Tail_intact","day","speed_1m_s","burst_25cm","age","Notes","Notes.1","Notes.2.y","logTimeSnout","logspeed_1m","logspeed_burst","logTime_emerge_sec"
"81","LD442_20","CL129_20","28/12/2020","11/2/2021","hot","ablated","Deli",0.238,670.84,6,NA,NA,22.747,NA,NA,"Yes",1,2.99,0.89,45,"tail tip is invisible","","",NA,1.0952733874026,-0.116533816255952,NA
"82","LD469_20","CL140_20","3/1/2021","21/2/2021","hot","control","Deli",0.208,588.906,4,5831,NA,20.377,27.697,48.074,"Yes",1,6.59,2.32,49,"","","",8.67094379122216,1.88555334851442,0.841567185678219,NA
"83","LD482_20","CL142_20","31/12/2020","2/3/2021","hot","ablated","Deli",0.308,366.715,3,NA,NA,23.152,36.71,59.862,"Yes",1,5.24,1.52,61,"","","",NA,1.65632149833295,0.418710334858185,NA
"84","LD490_20","CL145_20","1/1/2021","2/3/2021","hot","ablated","Deli",0.291,251.52,4,NA,NA,24.117,36.264,60.381,"Yes",1,4.83,1.45,60,"","","",NA,1.57484646766448,0.371563556432483,NA
"85","LD493_20","CL146_20","7/1/2021","21/2/2021","hot","control","Deli",0.228,404.664,8,985,997,20.539,31.12,51.659,"Yes",1,2.61,0.93,45,"","","",6.89264164117209,0.959350221334602,-0.0725706928348354,6.90475076996184
"86","LD496_20","CL147_20","29/12/2020","21/2/2021","hot","control","Deli",0.335,321.303,3,3104,3728,NA,NA,NA,"Yes",1,2.67,1.01,54,"no photo","","",8.04044688130311,0.982078472412158,0.00995033085316809,8.22362717580548
"87","LD503_20","CL149_20","5/1/2021","2/3/2021","hot","control","Deli",0.301,778.569,2,3851,NA,24.616,32.74,57.356,"Yes",1,4.06,1.11,56,"","","",8.25608813381491,1.40118297361364,0.104360015324243,NA
"88","LD532_20","CL155_20","4/1/2021","2/3/2021","hot","control","Deli",0.28,90.6654,3,4405,NA,24.072,36.011,60.083,"Yes",1,2.98,0.85,57,"","","",8.39049553837028,1.09192330051731,-0.162518929497775,NA
"177","LD021_20","CL007_20","1/12/2020","31/1/2021","cold","ablated","Deli",0.503,885.622,64,174,2377,28.506,NA,NA,"Yes",2,2.93,0.94,61,"tail tip is invisible","","",5.15905529921453,1.07500242302898,-0.0618754037180875,7.77359446736019
"178","LD027_20","CL008_20","8/12/2020","31/1/2021","cold","control","Deli",0.324,429.848,2,203,1994,25.34,36.999,62.339,"Yes",2,3.13,1.24,54,"","","",5.31320597904179,1.14103300455206,0.215111379616945,7.59789795052178
"179","LD035_20","CL012_20","7/12/2020","11/2/2021","cold","control","Deli",0.359,321.274,31,1592,2806,26.035,35.531,61.566,"Yes",2,3.03,0.91,66,"","","",7.37274636640433,1.10856261952128,-0.0943106794712413,7.93951526066241
"180","LD046_20","CL015_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.321,591.039,285,NA,NA,25.036,40.75,65.786,"Yes",2,15.11,8.54,68,"","","",NA,2.71535677628465,2.14476100780048,NA
"181","LD047_20","CL015_20","10/12/2020","31/1/2021","cold","control","Deli",0.345,638.514,2,NA,NA,25.286,NA,NA,"Yes",2,3.33,0.95,52,"tail tip is invisible","","",NA,1.20297230399235,-0.0512932943875506,NA
"182","LD049_20","CL016_20","14/12/2020","31/1/2021","cold","control","Deli",0.288,640.813,8,4880,NA,23.907,36.375,60.282,"Yes",2,2.57,0.71,48,"","","",8.49290049884719,0.943905898907128,-0.342490308946776,NA
"183","LD050_20","CL016_20","16/12/2020","11/2/2021","cold","ablated","Deli",0.316,1162.87,1,4369,NA,24.177,36.386,60.563,"Yes",2,5.15,1.34,57,"","","",8.38228942895144,1.63899671467564,0.29266961396282,NA
"184","LD058_20","CL019_20","24/11/2020","31/1/2021","hot","ablated","Deli",0.398,705.409,78,1039,1920,25.3,45.39,70.69,"Yes",2,2.91,1.18,68,"","","",6.94601399109923,1.0681530811834,0.165514438477573,7.56008046502183
"185","LD061_20","CL020_20","25/11/2020","11/2/2021","hot","ablated","Deli",0.486,478.921,4,NA,NA,30.147,44.976,75.123,"Yes",2,4.91,1.68,78,"wrong V1.1","","",NA,1.59127394180643,0.518793793415168,NA
"186","LD064_20","CL020_20","27/11/2020","21/2/2021","hot","control","Deli",0.472,399.318,6,2154,3902,25.883,NA,NA,"Yes",2,2.19,0.86,86,"has two photos","","",7.67508185771633,0.783901543828409,-0.150822889734584,8.26924452118306
"187","LD065_20","CL020_20","14/12/2020","21/2/2021","cold","control","Deli",0.55,634.758,2,1666,2455,NA,NA,NA,"Yes",2,2.94,0.79,69,"no photo, probably with wrong ID (LD064)","","",7.41818082272679,1.07840958135059,-0.23572233352107,7.80588204022862
"188","LD074_20","CL023_20","19/12/2020","11/2/2021","cold","ablated","Deli",0.252,460.464,23,NA,NA,21.696,31.849,53.545,"Yes",2,2.65,0.89,54,"","","",NA,0.974559639998131,-0.116533816255952,NA
"189","LD076_20","CL023_20","18/12/2020","11/2/2021","cold","control","Deli",0.311,788.581,10,2755,4013,26.254,39.122,65.376,"Yes",2,5.94,1.7,55,"","","",7.92117272158701,1.78170913337455,0.53062825106217,8.29729437026692
"190","LD090_20","CL027_20","16/12/2020","11/2/2021","cold","ablated","Deli",0.288,677.178,16,807,1015,23.669,35.379,59.048,"Yes",2,2.57,1.11,57,"","","",6.69332366826995,0.943905898907128,0.104360015324243,6.92264389147589
"191","LD157_20","CL046_20","7/12/2020","11/2/2021","hot","control","Deli",0.314,927.621,7,NA,NA,24.832,33.64,58.472,"Yes",2,3.28,1.04,66,"","","",NA,1.18784342239605,0.0392207131532813,NA
"192","LD162_20","CL048_20","22/12/2020","31/1/2021","cold","ablated","Deli",0.273,510.95,7,1953,2523,22.761,29.021,51.782,"Yes",2,2.74,0.9,40,"","","",7.57712193087668,1.00795792039998,-0.105360515657826,7.83320394864106
"193","LD163_20","CL048_20","3/12/2020","2/3/2021","hot","ablated","Deli",0.403,142.735,4,6066,NA,26.14,43.022,69.162,"Yes",2,5.35,1.64,89,"","","",8.71045468824853,1.67709656090792,0.494696241836107,NA
"194","LD169_20","CL049_20","23/12/2020","11/2/2021","cold","control","Deli",0.328,802.726,3,3211,4968,24.75,34.177,58.927,"Yes",2,2.44,0.71,50,"","","",8.07433769408951,0.89199803930511,-0.342490308946776,8.51077262361331
"195","LD172_20","CL050_20","3/12/2020","11/2/2021","hot","control","Deli",0.395,583.33,5,4766,NA,25.198,39.849,65.047,"Yes",2,3.28,1.1,70,"","","",8.46926265765869,1.18784342239605,0.0953101798043249,NA
"197","LD178_20","CL052_20","23/12/2020","11/2/2021","cold","ablated","Deli",0.252,750.275,5,1641,NA,21.618,34.018,55.636,"Yes",2,4.76,1.41,50,"","","",7.40306109109009,1.56024766824333,0.343589704390077,NA
"198","LD181_20","CL052_20","23/12/2020","11/2/2021","cold","control","Deli",0.258,201.996,22,NA,NA,23.755,36.369,60.124,"Yes",2,2.62,0.86,50,"","","",NA,0.963174317773006,-0.150822889734584,NA
"199","LD182_20","CL053_20","27/12/2020","2/3/2021","cold","ablated","Deli",0.373,710.525,5,1534,NA,25.429,40.404,65.833,"Yes",2,2.52,0.86,65,"","","",7.3356339819272,0.924258901523332,-0.150822889734584,NA
"200","LD183_20","CL053_20","7/12/2020","21/2/2021","hot","ablated","Deli",0.476,602.08,37,3460,4286,27.473,NA,NA,"Yes",2,6.39,5.11,76,"","V2.3 wrong","",8.14902386805177,1.85473426838944,1.63119940421561,8.36310917603352
"201","LD185_20","CL053_20","28/12/2020","2/3/2021","cold","control","Deli",0.296,851.147,0,NA,NA,23.516,31.79,55.306,"Yes",2,9.95,6.54,64,"","","",NA,2.2975725511705,1.87793716546911,NA
